Vendor,rank,degree,Year-Month,log_degree,log_rank,yhat_log,resid_log,resid_zscore,is_anomaly
PAYMENT ADJUSTMENT,5.9726452845965476e-05,2,201404,,,,,,False
LATE PAYMENT FEE,5.9063495027922205e-05,4,201404,,,,,,False
PURCHASE  FINANCE CHARGE,8.783133243916371e-05,6,201404,,,,,,False
AMAZON MKTPLACE PMTS,0.009558178010479784,840,201404,6.733401891837359,-4.650358154655619,-5.098364387844257,0.4480062331886385,1.3174608804328736,False
Amazon.com,0.007548788753655608,800,201404,6.684611727667927,-4.886368158438388,-5.146761421278282,0.2603932628398944,0.7657436703015452,False
EMSCO,9.29073455255861e-05,14,201404,2.6390573296152584,-9.283907835340175,-9.159718434126109,-0.12418940121406585,-0.3652062532688387,False
FAITH ELECTRIC INC,1.5997367582796388e-05,2,201404,,,,,,False
"LAB ANIMAL SUPPLIES, INC",0.0001259820160413743,12,201404,2.4849066497880004,-8.97937138309239,-9.31262703225195,0.3332556491595593,0.980011545433376,False
THE HOME DEPOT 3907,4.989416312075826e-05,8,201404,2.0794415416798357,-9.90560651353397,-9.714825072112932,-0.1907814414210378,-0.5610347963149286,False
THE HOME DEPOT 3911,6.813005908202572e-05,8,201404,2.0794415416798357,-9.594092031305818,-9.714825072112932,0.12073304080711367,0.35504206516722053,False
WAL-MART #0544,0.00014075891140518965,26,201404,3.258096538021482,-8.868461972130754,-8.545667184735597,-0.3227947873951571,-0.9492490802503915,False
WM SUPERCENTER #544,8.338758629869147e-05,10,201404,2.302585092994046,-9.392011093025378,-9.493479518200925,0.10146842517554688,0.298390225101241,False
WWW.NEWEGG.COM,0.000876552608699323,110,201404,4.700480365792417,-7.039513832929278,-7.114905482542733,0.07539164961345524,0.22170573023079182,False
FASTSPRINGSOFTWARE.COM,3.7092813316286745e-05,4,201404,,,,,,False
FS  agisoft,2.3557154205270662e-05,2,201404,,,,,,False
LOCKE SUPPLY - WHC OKMULG,7.399610372639754e-05,8,201404,2.0794415416798357,-9.511498104978042,-9.714825072112932,0.20332696713489007,0.5979276744225313,False
THE TRANE COMPANY,8.892244314080808e-05,22,201404,3.091042453358316,-9.327745982282384,-8.711375217458286,-0.6163707648240973,-1.8125738222849814,False
YORK INTL TULSA,1.9117351804010118e-05,2,201404,,,,,,False
TED PELLA INC,3.7219785283131596e-05,6,201404,,,,,,False
VWR INTERNATIONAL INC,0.002481623078023493,178,201404,5.181783550292085,-5.998842465527422,-6.637480437789005,0.6386379722615834,1.8780554440619468,False
AIRGAS CENTRAL,0.002029683288925342,240,201404,5.480638923341991,-6.199875512915121,-6.341033116332851,0.14115760341773065,0.4151049844885001,False
