Vendor,rank,degree,Year-Month,log_degree,log_rank,yhat_log,resid_log,resid_zscore,is_anomaly
LATE PAYMENT FEE,6.91945751453086e-05,2,201311,,,,,,False
CREDIT MISCELLANEOUS FEE,6.91945751453086e-05,2,201311,,,,,,False
AMAZON MKTPLACE PMTS,0.00851429053053634,682,201311,6.525029657843462,-4.766009288181837,-5.1126086131956265,0.34659932501378954,0.984358491080249,False
Amazon.com,0.007527294878384515,688,201311,6.5337888379333435,-4.889219547480222,-5.103838176845276,0.21461862936505405,0.6095270674606623,False
CONSUMERS,0.00015135978875578993,24,201311,3.1780538303479458,-8.795850841695827,-8.463885577477313,-0.331965264218514,-0.9427970656439378,False
LOWES #00241,0.0027593721618653774,278,201311,5.627621113690637,-5.8927521023526355,-6.011170400485068,0.11841829813243265,0.3363135726282859,False
WAL-MART #0137,0.002481348401019969,292,201311,5.676753802268282,-5.998953156070317,-5.96197457239727,-0.03697858367304718,-0.10502092820066698,False
DUPREES SPORTS EQUIPMENT,9.960950725530308e-05,14,201311,2.6390573296152584,-9.214252933519484,-9.003574732652819,-0.21067820086666522,-0.5983360639849574,False
OK QUALITY PRINTING INC,7.61029290966009e-05,12,201311,2.4849066497880004,-9.48342379059738,-9.157923508670128,-0.3255002819272512,-0.9244362098839487,False
SURVEYMONKEY.COM,0.00027424652286516335,28,201311,3.332204510175204,-8.20148313394792,-8.309536801460006,0.10805366751208467,0.3068775310040166,False
HAMBRICK-FERGUSON-DICKSO,8.338695594535585e-05,12,201311,2.4849066497880004,-9.392018652372501,-9.157923508670128,-0.2340951437023726,-0.6648412901984001,False
LOCKE SUPPLY - WHC OKMULG,6.218426635915905e-05,6,201311,,,,,,False
O'CONNOR CO INC,4.74046883867893e-05,6,201311,,,,,,False
ANTHEM SPRT,5.6951195406104435e-05,4,201311,,,,,,False
ALTECARE INC.,2.3549964030519398e-05,2,201311,,,,,,False
AT&T DATA,0.0021497748527315756,164,201311,5.099866427824199,-6.142392161520619,-6.53960329414578,0.39721113262516106,1.1280984206637523,False
BEST BUY      00025031,0.0004093866233403478,54,201311,3.9889840465642745,-7.800850556642697,-7.651913249825542,-0.1489373068171549,-0.4229890020652566,False
DMI  DELL HIGHER EDUC,0.0013961496908918992,76,201311,4.330733340286331,-6.574037051241666,-7.3097247804014085,0.7356877291597428,2.089387978332372,False
MCMASTER-CARR,0.0007594527485660457,76,201311,4.330733340286331,-7.182912450416663,-7.3097247804014085,0.12681232998474545,0.3601530204630246,False
PAYPAL  DMP LLC,2.3549964030519398e-05,2,201311,,,,,,False
PAYPAL  REACHGLOBAL,2.3549964030519398e-05,2,201311,,,,,,False
STAPLES       00105288,0.0018035097649500681,228,201311,5.429345628954441,-6.31802064263669,-6.209700685382709,-0.10831995725398169,-0.307633806477117,False
WOODWORKERS SOURCE,2.3549964030519398e-05,2,201311,,,,,,False
WWW.ESPRITMODEL.COM,2.3549964030519398e-05,2,201311,,,,,,False
AT&T BILL PAYMENT,0.003301308079562266,356,201311,5.87493073085203,-5.713436501001519,-5.763542970304767,0.05010646930324825,0.14230474486570827,False
HOBBY-LOBBY #0015,0.0006991265713149943,84,201311,4.430816798843313,-7.265678755849554,-7.209512706441306,-0.05616604940824832,-0.15951423922487196,False
OFFICE MAX,0.0006277736229220758,80,201311,4.382026634673881,-7.373330927943193,-7.258365569949104,-0.11496535799408836,-0.32650705917284717,False
PC NAME TAG,6.364247301218133e-05,8,201311,2.0794415416798357,-9.662229480137462,-9.563909672496013,-0.09831980764144888,-0.2792329081696042,False
PUBLIC BROADCASTING SVC,2.189425090108101e-05,2,201311,,,,,,False
CDW GOVERNMENT,0.0004963143504277659,54,201311,3.9889840465642745,-7.608301058948814,-7.651913249825542,0.043612190876728185,0.12386068669470705,False
GIH GLOBALINDUSTRIALEQ,0.00012047637952359144,18,201311,2.8903717578961645,-9.02405683649883,-8.751937344844242,-0.27211949165458726,-0.772832238458504,False
STAPLS7108386874000001,2.221062380665933e-05,2,201311,,,,,,False
STAPLS7108938340000001,2.221062380665933e-05,2,201311,,,,,,False
USA MOBILITY WIRELE,0.00035422721823174445,50,201311,3.912023005428146,-7.9455719884993945,-7.728973192173449,-0.21659879632594592,-0.6151508353707992,False
WELLSOURCE INC,2.221062380665933e-05,2,201311,,,,,,False
BMC HISTORY BOOK CLUB,3.0281419379342204e-05,2,201311,,,,,,False
KINDLE-NewYorkTime,3.0281419379342204e-05,2,201311,,,,,,False
DOUBLETREE TULSA,7.351026392392364e-05,8,201311,2.0794415416798357,-9.518085502667976,-9.563909672496013,0.0458241698280375,0.13014281163169417,False
EMBASSY SUITES NORMAN,0.00019973117291703537,14,201311,2.6390573296152584,-8.518538225984639,-9.003574732652819,0.4850365066681803,1.3775266406064843,False
HOLIDAY INN NORMAN,3.239630847527339e-05,2,201311,,,,,,False
HYATT REGENCY WASHINGTON,7.744552542185898e-05,6,201311,,,,,,False
STAPLES,0.01016275255920537,480,201311,6.173786103901937,-4.589025952244288,-5.46430354373759,0.875277591493302,2.4858297955554454,False
CTC CONSTANTCONTACT.COM,0.0002867741615946641,38,201311,3.6375861597263857,-8.156815541879093,-8.003762711594222,-0.15305283028487082,-0.4346772835427952,False
OFFICEMAX CT IN#492361,2.7027300399486384e-05,2,201311,,,,,,False
OFFICEMAX CT IN#509321,2.7027300399486384e-05,2,201311,,,,,,False
WAL-MART #0212,0.0008108037634763479,90,201311,4.499809670330265,-7.117484500481139,-7.140431173490145,0.02294667300900599,0.06516963764303062,False
MCLAIN-CHITWOOD OFFICE PR,0.00011707967209510876,16,201311,2.772588722239781,-9.052655888294224,-8.8698717413032,-0.18278414699102363,-0.5191156304712904,False
BEST WESTERN LAWRENCE,9.863411719922864e-05,6,201311,,,,,,False
COWBOY COPY,0.00020171154853786198,28,201311,3.332204510175204,-8.508671853672398,-8.309536801460006,-0.1991350522123927,-0.5655529753532001,False
DOLRTREE 2748 00027482,7.519559432183201e-05,12,201311,2.4849066497880004,-9.495417901571916,-9.157923508670128,-0.33749439290178707,-0.9585000528538479,False
LASER SOURCE LLC,5.136101709889322e-05,4,201311,,,,,,False
ALL AMERICAN EMBROIDERY,1.792872667438353e-05,2,201311,,,,,,False
PAI INC,4.899770777234731e-05,4,201311,,,,,,False
REI ELSEVIER HEALTH SC,8.40003486382709e-05,8,201311,2.0794415416798357,-9.384689596769256,-9.563909672496013,0.17922007572675724,0.5089934993574077,False
W W NORTON CO INC,3.346321722336542e-05,4,201311,,,,,,False
WAL-MART #1437,0.00037881026461826804,24,201311,3.1780538303479458,-7.878475096654543,-8.463885577477313,0.5854104808227705,1.6625934789178574,False
BW LOCUST GROVE INN,6.969181670078444e-05,4,201311,,,,,,False
H.O. FOOSE TINSMITHING,2.5200052745442612e-05,2,201311,,,,,,False
HYATT PLACE,5.9973429841693025e-05,4,201311,,,,,,False
