Vendor,rank,degree,Year-Month,log_degree,log_rank,yhat_log,resid_log,resid_zscore,is_anomaly
LATE PAYMENT FEE,7.302342749538716e-05,6,201405,,,,,,False
PURCHASE  FINANCE CHARGE,9.50502023832179e-05,8,201405,2.0794415416798357,-9.261105349282332,-9.652460988709803,0.39135563942747176,1.1564476997757456,False
CREDIT LATE CHARGE FEE,3.027878621184414e-05,2,201405,,,,,,False
CREDIT PURCHASE FINANCE C,5.230556109967488e-05,4,201405,,,,,,False
FINANCE CHARGE ADJUSTMENT,6.266449429753102e-05,2,201405,,,,,,False
AMAZON MKTPLACE PMTS,0.008706692086166524,818,201405,6.706862336602747,-4.74366334358703,-5.062378212318062,0.31871486873103194,0.9417957471305008,False
Amazon.com,0.008726015496692607,802,201405,6.687108607866515,-4.741446428246013,-5.081972550948596,0.34052612270258287,1.006247544788317,False
CHAPPELL SUPPLY,2.957810258732391e-05,6,201405,,,,,,False
THE HOME DEPOT 3907,9.095814687083592e-05,12,201405,2.4849066497880004,-9.305111070747378,-9.250267522492711,-0.05484354825466653,-0.16206153390157713,False
THE HOME DEPOT 3911,8.536852651613383e-05,16,201405,2.772588722239781,-9.368533055349758,-8.964906716903904,-0.4036263384458536,-1.1927073578075216,False
CONSUMERS,0.00013454720190282678,28,201405,3.332204510175204,-8.913595469540875,-8.409806391379679,-0.503789078161196,-1.4886861512050065,False
LOWES #00241,0.0030442613984417713,334,201405,5.811140992976701,-5.794496969002819,-5.950872104279507,0.15637513527668823,0.4620852423575762,False
ASSN OF AMER GEOGRAPHERS,2.2958505457386605e-05,2,201405,,,,,,False
THE UPS STORE 6124,4.0806174936045476e-05,6,201405,,,,,,False
CE TULSA,3.09652114805327e-05,6,201405,,,,,,False
JOHNSTONE SUPPLY OF TU,7.480735921201971e-05,14,201405,2.6390573296152584,-9.500594279268249,-9.09736066318558,-0.4032336160826695,-1.191546871467733,False
LOCKE SUPPLY - WHC OKMULG,0.00012714576079423846,10,201405,2.302585092994046,-8.970176398981696,-9.431117951855661,0.4609415528739653,1.3620726133702388,False
TEMPERATURE CONTROLS 8,9.323061273179846e-05,12,201405,2.4849066497880004,-9.280434416691193,-9.250267522492711,-0.03016689419848184,-0.08914253913971612,False
TOTAL RADIO INC,6.054062590123724e-05,12,201405,2.4849066497880004,-9.71219589926678,-9.250267522492711,-0.4619283767740683,-1.364988657281159,False
VWR INTERNATIONAL INC,0.002665109765998341,178,201405,5.181783550292085,-5.927510033845439,-6.575151348784379,0.64764131493894,1.913766491359525,False
ATW OF ELK CITY # 07,6.950603344908196e-05,6,201405,,,,,,False
COMTEC ELECTRONIC SYSTE,0.00013528952582446855,24,201405,3.1780538303479458,-8.908093432845929,-8.56271325068681,-0.3453801821591185,-1.0205911885934666,False
ELK CITY ACE HOME CENTER,1.830387272279305e-05,2,201405,,,,,,False
ELK CITY UTILITY,4.4084558752687226e-05,4,201405,,,,,,False
