Vendor,rank,degree,Year-Month,log_degree,log_rank,yhat_log,resid_log,resid_zscore,is_anomaly
LATE PAYMENT FEE,7.307000952986731e-05,4,201307,,,,,,False
PURCHASE  FINANCE CHARGE,7.63389310088359e-05,4,201307,,,,,,False
CBR MAN CK,8.283854096701681e-05,4,201307,,,,,,False
PAYMENT ADJUSTMENT,4.477758971190098e-05,2,201307,,,,,,False
CREDIT LATE CHARGE FEE,4.201525547967347e-05,2,201307,,,,,,False
Amazon.com,0.007497842742794001,698,201307,6.548219102762372,-4.893139933975311,-5.150647328643543,0.2575073946682318,0.7679698362733336,False
BULLET LINER OF OKLAHOMA,1.6801717662536163e-05,2,201307,,,,,,False
THE HOME DEPOT 3907,2.598318243034092e-05,4,201307,,,,,,False
WAL-MART #0544,0.00018685383729393355,20,201307,2.995732273553991,-8.585183860130128,-8.746535991925567,0.1613521317954394,0.4812039296849956,False
WAL-MART #2803,6.156412455394577e-05,8,201307,2.0794415416798357,-9.695431234443381,-9.674021332033325,-0.021409902410056247,-0.06385121199979114,False
BOONE & BOONE SALES CO,5.30656260808969e-05,10,201307,2.302585092994046,-9.843981163598094,-9.448151566702185,-0.3958295968959096,-1.1804911121559511,False
HAMBRICK-FERGUSON-DICKSO,4.031801652326071e-05,8,201307,2.0794415416798357,-10.118712103979897,-9.674021332033325,-0.444690771946572,-1.3262108444072307,False
LOCKE SUPPLY - WHC OKMULG,2.7879156125744225e-05,4,201307,,,,,,False
LOCKE SUPPLY OKMULGEE,0.00017497390489327403,16,201307,2.772588722239781,-8.650873704339931,-8.972405757256706,0.32153205291677445,0.9589119502888828,False
WW GRAINGER,0.008488908902976391,604,201307,6.403574197934815,-4.768994802350395,-5.297059405162577,0.528064602812182,1.574858411681337,False
LOWES #00241,0.0026273510676178002,292,201307,5.676753802268282,-5.941779138601639,-6.03275959116491,0.09098045256327136,0.2713329586092516,False
VISHAY MEASUREMENTSGRP,5.227383799926953e-05,6,201307,,,,,,False
AMAZON MKTPLACE PMTS,0.00785474733155294,646,201307,6.470799503782602,-4.8466371742396515,-5.229012786890501,0.38237561265084974,1.140367005851325,False
ECC DSS-Disc Sch Suppl,4.742106475643501e-05,8,201307,2.0794415416798357,-9.956444002749645,-9.674021332033325,-0.2824226707163202,-0.8422751993950419,False
PAYPAL  DGD INC,4.914943541725944e-05,2,201307,,,,,,False
WWW.SCIENTIFICFILTERS.CO,4.914943541725944e-05,2,201307,,,,,,False
DOBSON TELEPHONE,5.904772661778165e-05,6,201307,,,,,,False
ELK CITY ACE HOME CTR.,2.879155646219558e-05,2,201307,,,,,,False
ELK CITY UTILITY,4.645261777743753e-05,4,201307,,,,,,False
FASTENAL COMPANY01,0.0016559742844616339,216,201307,5.375278407684165,-6.403365751242509,-6.337918204204742,-0.0654475470377669,-0.1951856258257637,False
L&R TIRE & TRUCK CENTER,1.9181383131557206e-05,2,201307,,,,,,False
MIDWEST FARM SUPPLY,1.9181383131557206e-05,2,201307,,,,,,False
NORTHFORK ELECTRIC COO,0.00011195819838583806,6,201307,,,,,,False
OK NATURAL GAS TNB,0.00041553463755627786,56,201307,4.02535169073515,-7.785944581183766,-7.704337394791909,-0.0816071863918566,-0.24337886549946378,False
ALTECARE INC.,2.018732537415959e-05,2,201307,,,,,,False
AT&T DATA,0.0023585339830063806,176,201307,5.170483995038151,-6.0497150461827,-6.545214653746091,0.4954996075633904,1.477739126615069,False
HARBOR FREIGHT CATALOG,3.4613891366478555e-05,4,201307,,,,,,False
