Vendor,rank,degree,Year-Month,log_degree,log_rank,yhat_log,resid_log,resid_zscore,is_anomaly
LATE PAYMENT FEE,9.690704783961122e-05,4,201312,,,,,,False
PURCHASE  FINANCE CHARGE,0.0001393278045658263,6,201312,,,,,,False
AMAZON MKTPLACE PMTS,0.007851911821853217,550,201312,6.309918278226516,-4.84699823252741,-5.082826032441105,0.23582779991369485,0.7637131955236728,False
Amazon.com,0.007053907444465358,542,201312,6.295266001439646,-4.954173568112683,-5.097805373530623,0.14363180541793952,0.4651423841239908,False
OFFICE DEPOT #72,5.815077112941065e-05,6,201312,,,,,,False
WAL-MART #0544,0.00024125730751651823,16,201312,2.772588722239781,-8.329646523835056,-8.699114936609433,0.3694684127743777,1.1964997437462408,False
WAL-MART #0137,0.0020603029775200592,200,201312,5.298317366548036,-6.1849022300439165,-6.117007635949911,-0.06789459409400589,-0.21987228576649445,False
WAL-MART #4241,0.0017636224940729276,174,201312,5.159055299214529,-6.340385349360587,-6.2593782748453926,-0.08100707451519451,-0.2623362121033048,False
JOHNSON CONTROLS SP,2.421440102377674e-05,2,201312,,,,,,False
LOCKE SUPPLY - WHC OKMULG,3.733958241116408e-05,4,201312,,,,,,False
LOCKE SUPPLY OKMULGEE,0.00018482064786248556,18,201312,2.8903717578961645,-8.59612466872986,-8.578702778736679,-0.01742188999318195,-0.05641967267479598,False
O'CONNOR CO INC,0.00011912992290973142,12,201312,2.4849066497880004,-9.035295862869473,-8.993218573284961,-0.042077289584511846,-0.13626460196514242,False
OREILLY AUTO  00001891,0.0001219579927170168,12,201312,2.4849066497880004,-9.011833886315566,-8.993218573284961,-0.018615313030604597,-0.06028449659231181,False
WW GRAINGER,0.00832454320472882,458,201312,6.126869184114185,-4.7885471148037775,-5.269961100712071,0.48141398590829354,1.5590282981156447,False
DOLRTREE 2748 00027482,0.00012552466943663472,12,201312,2.4849066497880004,-8.983008241526859,-8.993218573284961,0.010210331758102598,0.03306550413987359,False
LYRIC THEATRE OF OKLAH,3.722467205619589e-05,2,201312,,,,,,False
MARRIOTT 337V6NOCONVCTR,8.09323405632891e-05,2,201312,,,,,,False
CRYSTALMAKER SOFTWARE LTD,2.61900033036178e-05,2,201312,,,,,,False
HACH COMPANY,7.469592619408629e-05,10,201312,2.302585092994046,-9.50208498947941,-9.179609864339197,-0.3224751251402136,-1.044314997586558,False
VWR INTERNATIONAL INC,0.0024554391800044486,128,201312,4.852030263919617,-6.009449641268832,-6.573256642938005,0.563807001669173,1.8258527919988918,False
