Vendor,rank,degree,Year-Month,log_degree,log_rank,yhat_log,resid_log,resid_zscore,is_anomaly
CREDIT PURCHASE FINANCE C,3.577099830993564e-05,2,201403,,,,,,False
PURCHASE  FINANCE CHARGE,8.449451526830714e-05,6,201403,,,,,,False
LATE PAYMENT FEE,5.7617676460298564e-05,4,201403,,,,,,False
"LAB ANIMAL SUPPLIES, INC",0.00018814088526542967,14,201403,2.6390573296152584,-8.578319480761692,-9.137306889875363,0.5589874091136711,1.5933401642874827,False
WAL-MART #0137,0.001669515572206406,244,201403,5.497168225293202,-6.3952217705579395,-6.259044665761351,-0.1361771047965883,-0.3881598171823153,False
EVANS ENTERPRISES,3.542232186815897e-05,4,201403,,,,,,False
LOCKE SUPPLY - WHC OKMULG,3.353483217683318e-05,4,201403,,,,,,False
MCINTOSH SERVICES OF OKLA,1.7389273409320234e-05,2,201403,,,,,,False
"O'CONNOR COMPANY, INC.",0.00010343231379891064,10,201403,2.302585092994046,-9.176593122481668,-9.476151449613928,0.29955832713226016,0.8538623703947213,False
OREILLY AUTO  00001891,0.00014958810584502996,16,201403,2.772588722239781,-8.807624995283163,-9.002834024002418,0.19520902871925472,0.5564246722177846,False
Amazon.com,0.008118223146842782,756,201403,6.628041376179533,-4.8136439729113425,-5.120198207639985,0.30655423472864207,0.8738035361119126,False
AGILENTTECHNOLOGIES,0.00011099449490240313,22,201403,3.091042453358316,-9.106029944346226,-8.682135010611189,-0.4238949337350366,-1.2082719795584047,False
KURT J. LESKER COMPANY,6.801738687605029e-05,8,201403,2.0794415416798357,-9.595747181415316,-9.700868291522887,0.10512111010757152,0.2996376736185621,False
VERNIER SOFTWARE & TEC,3.236296160390564e-05,6,201403,,,,,,False
VWR INTERNATIONAL INC,0.0022413498614438873,150,201403,5.0106352940962555,-6.100676977453547,-6.749007934425728,0.6483309569721802,1.8480054052248758,False
ATW OF ELK CITY # 07,2.587169566637664e-05,4,201403,,,,,,False
COMTEC ELECTRONIC SYSTE,0.00014838811878713375,26,201403,3.258096538021482,-8.815679285778359,-8.513903098407557,-0.3017761873708018,-0.860184168952635,False
ELK CITY UTILITY,4.256036481155364e-05,4,201403,,,,,,False
FASTENAL COMPANY01,0.0016713498201003014,236,201403,5.4638318050256105,-6.39412370292473,-6.292616126997686,-0.10150757592704451,-0.2893376399308511,False
"HI-LINE, INC.",1.7167905525780268e-05,2,201403,,,,,,False
LOCKE SUPPLY - CLINTON,4.900700094651974e-05,8,201403,2.0794415416798357,-9.923547373194683,-9.700868291522887,-0.22267908167179584,-0.6347254317174836,False
NORTHFORK ELECTRIC COO,6.962475350575875e-05,6,201403,,,,,,False
OREILLY AUTO  00003137,1.7167905525780268e-05,2,201403,,,,,,False
SOONER RUBBER PRODUCTS,7.627472895513674e-05,10,201403,2.302585092994046,-9.481168867778996,-9.476151449613928,-0.005017418165067511,-0.014301670758729,False
AMAZON MKTPLACE PMTS,0.008132889368113223,760,201403,6.633318433280377,-4.8118390226057155,-5.114883944246349,0.3030449216406339,0.863800574683767,False
AT&T DATA,0.0018672637852299562,156,201403,5.049856007249537,-6.2832811355812614,-6.709510692648786,0.42622955706752474,1.214926600151831,False
CST THE COMPOSITE STORE,4.6334585407224954e-05,4,201403,,,,,,False
DESERT AIRCRAFT,1.6334881119750208e-05,2,201403,,,,,,False
DROPBOX,7.126886632172789e-05,12,201403,2.4849066497880004,-9.549050969354562,-9.292544420805054,-0.25650654854950794,-0.7311473917716899,False
FIBRE GLAST,3.868309179540241e-05,6,201403,,,,,,False
HOB TOWER HOBBIES,9.744965798267354e-05,6,201403,,,,,,False
INTERSTATE GROUP,1.6334881119750208e-05,2,201403,,,,,,False
MCMASTER-CARR,0.0007927110705731387,86,201403,4.454347296253507,-7.140051751304182,-7.30921808314321,0.16916633183902796,0.48219245473112715,False
MOUSER ELECTRONICS DIS,0.00030479654440898255,28,201403,3.332204510175204,-8.095866068176043,-8.439272622354894,0.34340655417885024,0.9788475492145914,False
PAYPAL  APRILCOOKSE,2.3775602737573345e-05,2,201403,,,,,,False
PAYPAL  MICRO-MARK,1.6334881119750208e-05,2,201403,,,,,,False
THE PAINT PLACE,1.6334881119750208e-05,2,201403,,,,,,False
JOSEPPI'S,7.16379035834845e-05,10,201403,2.302585092994046,-9.543886230452959,-9.476151449613928,-0.0677347808390305,-0.1930715165859503,False
QDOBA #0258,5.995580037703316e-05,8,201403,2.0794415416798357,-9.721902910913588,-9.700868291522887,-0.021034619390700726,-0.05995717143045545,False
RED ROCK BAKERY AND DELI,0.00016339207748506364,24,201403,3.1780538303479458,-8.719357855997107,-8.594510153284585,-0.12484770271252188,-0.3558664397580766,False
AT&T BILL PAYMENT,0.0029478000103838743,374,201403,5.924255797414532,-5.826696145699796,-5.828945880201874,0.0022497345020777715,0.006412653098638505,False
DMI  DELL HIGHER EDUC,0.001424347179429332,112,201403,4.718498871295094,-6.554041689227051,-7.043204087313956,0.4891623980869051,1.3943106464005466,False
KASA STORES ONLINE LLC,1.8416234690167048e-05,2,201403,,,,,,False
ONYX IMAGING CORPORATION,3.613866382202259e-05,4,201403,,,,,,False
STAPLS7114313581000001,1.8416234690167048e-05,2,201403,,,,,,False
STAPLS7114558095000001,1.8416234690167048e-05,2,201403,,,,,,False
INTERNATIONAL TRANSACTION,0.001050360928252124,114,201403,4.736198448394496,-6.858621431733621,-7.025379717998883,0.1667582862652619,0.47532855105894994,False
KINDLE-NewYorkTime,1.822747720686931e-05,2,201403,,,,,,False
THE FOLIO SOCIETY LTD,1.822747720686931e-05,2,201403,,,,,,False
HAMPTON INN MUSKOGEE,6.937870415387289e-05,8,201403,2.0794415416798357,-9.575930579700419,-9.700868291522887,0.1249377118224686,0.35612300212014314,False
KNIGHTS INN,1.7882264128534835e-05,2,201403,,,,,,False
LEARNING RESOURCES NETWK,1.7882264128534835e-05,2,201403,,,,,,False
OKLAHOMA SAFETY CO,4.142378063880413e-05,6,201403,,,,,,False
SHERATON MIDWEST CITY HOT,0.0001015777033781093,12,201403,2.4849066497880004,-9.19468649199884,-9.292544420805054,0.09785792880621358,0.2789346697596648,False
STAPLES,0.009522289861960687,492,201403,6.198478716492308,-4.654119927278403,-5.55278953155865,0.8986696042802471,2.561571784227566,False
STAPLES DIRECT,0.001054325442292271,134,201403,4.897839799950911,-6.854854106795516,-6.862598701788801,0.007744594993284615,0.022075227559266188,False
WESTIN ST. FRANCIS,1.7882264128534835e-05,2,201403,,,,,,False
PAYPAL  SPJOKLAHOMA,3.8108927282016e-05,4,201403,,,,,,False
ROBYN PROMOTIONS & PRINTI,3.738946988519253e-05,4,201403,,,,,,False
COPY WORKS,4.567269207585472e-05,2,201403,,,,,,False
MICROTEL INN & SUITES,4.567269207585472e-05,2,201403,,,,,,False
LOWES #02574,0.00017039610996108997,22,201403,3.091042453358316,-8.677384766827805,-8.682135010611189,0.004750243783384178,0.01354011572860429,False
DBC BLICK ART MATERIAL,0.0001512665005281316,22,201403,3.091042453358316,-8.796467365991965,-8.682135010611189,-0.11433235538077646,-0.325893447572673,False
BioQuip Products Inc,0.00011419009885037912,12,201403,2.4849066497880004,-9.077645955827952,-9.292544420805054,0.21489846497710197,0.6125475277424721,False
LOWES #00241,0.0023003553099206855,270,201403,5.598421958998375,-6.07469168496931,-6.157077034899019,0.0823853499297087,0.23483156302219654,False
OREILLY AUTO  00008532,3.207862862087326e-05,2,201403,,,,,,False
THE UPS STORE 6124,7.670274734383563e-05,10,201403,2.302585092994046,-9.475573017849252,-9.476151449613928,0.0005784317646764237,0.0016487644407391642,False
WM SUPERCENTER #793,2.0486394061400163e-05,2,201403,,,,,,False
BEST WESTERN INN & SUITE,2.6667548957255616e-05,4,201403,,,,,,False
CENTRAL PRINTING,0.0003344184182779151,50,201403,3.912023005428146,-8.00311759669795,-7.8553660726640295,-0.14775152403391978,-0.421151592575581,False
CTC CONSTANTCONTACT.COM,0.00020283278552634895,34,201403,3.5263605246161616,-8.503128630052236,-8.24374769615451,-0.25938093389772554,-0.7393405523836907,False
IRRIGATION MART INC,3.260589262301691e-05,4,201403,,,,,,False
LA QUINTA INN & SUITES,0.00020291113363930582,12,201403,2.4849066497880004,-8.50274243516505,-9.292544420805054,0.789801985640004,2.251255046244374,False
ONCUE EXPRESS 101,1.8393443855928958e-05,2,201403,,,,,,False
PAYPAL  RSVP LINE,1.8393443855928958e-05,2,201403,,,,,,False
PRINTING SERVICES,0.0003009576121923221,46,201403,3.828641396489095,-8.108541123090523,-7.9393355699841095,-0.16920555310641383,-0.4823042512037908,False
QUIK PRINT OKLAHOMA CITY,0.00013604628774060727,18,201403,2.8903717578961645,-8.90251537175018,-8.88422055008722,-0.018294821662960814,-0.05214763996255826,False
TELVENT DTN LLC,2.7124834702749553e-05,4,201403,,,,,,False
MICRO CONTROL SYSTEMS,1.6249182834193996e-05,2,201403,,,,,,False
NOR NORTHERN TOOL,7.398889458149244e-05,14,201403,2.6390573296152584,-9.51159553572975,-9.137306889875363,-0.3742886458543868,-1.0668739988654745,False
