Vendor,rank,degree,Year-Month,log_degree,log_rank,yhat_log,resid_log,resid_zscore,is_anomaly
PURCHASE  FINANCE CHARGE,8.220386335940526e-05,4,201406,,,,,,False
LATE PAYMENT FEE,4.443452073481366e-05,2,201406,,,,,,False
CREDIT PURCHASE FINANCE C,6.331919204710948e-05,2,201406,,,,,,False
DEBIT PURCH FINANCE CHG,6.331919204710948e-05,2,201406,,,,,,False
AMAZON MKTPLACE PMTS,0.009635166696108479,788,201406,6.669498089857879,-4.642335676060648,-5.025202465875252,0.38286678981460476,1.1379379087027977,False
THE HOME DEPOT 3907,5.212723380949907e-05,6,201406,,,,,,False
THE HOME DEPOT 3909,2.735839894554838e-05,2,201406,,,,,,False
WAL-MART #0622,2.6871216409438093e-05,4,201406,,,,,,False
WM SUPERCENTER #622,9.072426234649881e-05,12,201406,2.4849066497880004,-9.30768572452887,-9.277381019613692,-0.030304704915177894,-0.09007015874038526,False
Amazon.com,0.008664387332513762,828,201406,6.71901315438526,-4.748534064198505,-4.974887662510175,0.22635359831166912,0.6727570714996292,False
CLARK UNIVERSITY IDRIS,2.034956662857209e-05,2,201406,,,,,,False
DKC DIGI KEY CORP,0.00023003481646360232,26,201406,3.258096538021482,-8.377279880221385,-8.491703013098693,0.11442313287730776,0.34008282775500587,False
DRAGANFLYINNOVATION,2.034956662857209e-05,2,201406,,,,,,False
EMPERORLINUX INC,2.034956662857209e-05,2,201406,,,,,,False
L-COM GLOBAL CONNECTIVIT,5.3742663635681586e-05,8,201406,2.0794415416798357,-9.831303372163934,-9.68939496689596,-0.14190840526797288,-0.42177320732406304,False
MARSHALL RADIO TELEMETER,3.789161235052151e-05,4,201406,,,,,,False
RADIOSHACK.COM,2.034956662857209e-05,2,201406,,,,,,False
WW GRAINGER,0.006585129729227014,492,201406,6.198478716492308,-5.022941243111246,-5.503829473195937,0.48088823008469106,1.4292724295239634,False
BOONE & BOONE SALES CO,7.607258562454896e-05,20,201406,2.995732273553991,-9.483822586318372,-8.758304834235478,-0.7255177520828937,-2.1563483057167567,False
FEDERAL COPRORATION,0.0004427516438258342,50,201406,3.912023005428146,-7.722501566286585,-7.827214701574995,0.10471313528841009,0.31122324880022206,False
LOCKE SUPPLY - WHC OKMULG,7.594542892896531e-05,6,201406,,,,,,False
"O'CONNOR COMPANY, INC.",4.296573207175929e-05,8,201406,2.0794415416798357,-10.055107665276465,-9.68939496689596,-0.3657126983805039,-1.0869533588501263,False
TEMPERATURE CONTROLS 8,0.00011673671176729109,10,201406,2.302585092994046,-9.055589477165773,-9.462647329308794,0.40705785214302104,1.2098373985713922,False
MCMASTER-CARR,0.0009525713519173481,74,201406,4.30406509320417,-6.956345542569807,-7.428840575527407,0.47249503295760054,1.404326580366463,False
WWW.MAKERBOT.COM,7.112487808450365e-05,10,201406,2.302585092994046,-9.551073365561352,-9.462647329308794,-0.0884260362525584,-0.2628155312630477,False
ZORO TOOLS INC,2.1977109325707155e-05,2,201406,,,,,,False
VWR INTERNATIONAL INC,0.0032468769786544553,192,201406,5.2574953720277815,-5.730061673966159,-6.460011039320422,0.7299493653542628,2.1695197294922726,False
AIRGAS CENTRAL,0.002036101982641814,230,201406,5.438079308923196,-6.196718091350978,-6.27651041456086,0.07979232320988228,0.23715483248877675,False
COMTEC ELECTRONIC SYSTE,0.0001772557990422004,26,201406,3.258096538021482,-8.637916670705454,-8.491703013098693,-0.14621365760676142,-0.4345690673285597,False
DEPT OF ENV QUALITY,0.0005165035376852128,88,201406,4.477336814478207,-7.568428418149807,-7.252770269089439,-0.3156581490603685,-0.9381836804928158,False
ELK CITY UTILITY,4.413742091645067e-05,4,201406,,,,,,False
MIDWEST FARM SUPPLY,1.838125641657552e-05,2,201406,,,,,,False
NORTHFORK ELECTRIC COO,7.030839528987461e-05,6,201406,,,,,,False
OK NATURAL GAS/TNB,0.0007318867709067129,112,201406,4.718498871295094,-7.219884739155192,-7.00771310146423,-0.21217163769096192,-0.6306061431888574,False
"WELDON PARTS, INC",3.508859412180164e-05,4,201406,,,,,,False
CST THE COMPOSITE STORE,4.414439407461937e-05,4,201406,,,,,,False
FIBRE GLAST,2.6582048923339904e-05,2,201406,,,,,,False
HOB TOWER HOBBIES,7.04316925536207e-05,8,201406,2.0794415416798357,-9.560867203583506,-9.68939496689596,0.12852776331245508,0.3820039190780976,False
PAYPAL  DBIERLY,1.8039963865203165e-05,2,201406,,,,,,False
SERVOCITY,1.8039963865203165e-05,2,201406,,,,,,False
MCALISTER'S DELI 711,0.00011822665268921285,16,201406,2.772588722239781,-9.042906981888153,-8.985052471822641,-0.05785451006551234,-0.1719523394150817,False
AT&T BILL PAYMENT,0.0027452169894885523,360,201406,5.886104031450156,-5.897895157786572,-5.8212494544509905,-0.07664570333558185,-0.22780260311156716,False
START MEETING,2.9394236381165696e-05,4,201406,,,,,,False
WKH LIPPINCOTT WMS/WIL,7.506672799158209e-05,8,201406,2.0794415416798357,-9.49713312010633,-9.68939496689596,0.19226184678963065,0.5714312384343263,False
