Vendor,rank,degree,Year-Month,log_degree,log_rank,yhat_log,resid_log,resid_zscore,is_anomaly
PURCHASE  FINANCE CHARGE,6.080875646093037e-05,2,201310,,,,,,False
AMAZON MKTPLACE PMTS,0.0080409059064834,774,201310,6.651571873589727,-4.8232135270784955,-5.081041008551165,0.25782748147266954,0.7480904738126637,False
LOWES #01134,0.00016647894181510481,26,201310,3.258096538021482,-8.700641726120677,-8.537536572985408,-0.16310515313526963,-0.47325215525243636,False
LOWES #02574,0.00018387486171683,26,201310,3.258096538021482,-8.601255125654346,-8.537536572985408,-0.06371855266893789,-0.18488037809039332,False
THE HOME DEPOT 3902,5.8145873047267414e-05,12,201310,2.4849066497880004,-9.752555635132277,-9.325085370270807,-0.4274702648614692,-1.2403116655930864,False
WAL-MART #0544,0.0002401880586553182,30,201310,3.4011973816621555,-8.33408835956514,-8.391778203644568,0.057689844079428454,0.16738798573779767,False
CONSUMERS,0.00019863232201492212,34,201310,3.5263605246161616,-8.524055065241159,-8.264290656021439,-0.25976440921972,-0.7537104999935519,False
ASSN OF AMER GEOGRAPHERS,5.178980747947018e-05,6,201310,,,,,,False
JOHNSON CONTROLS SP,2.24580067765696e-05,2,201310,,,,,,False
LOCKE SUPPLY - WHC OKMULG,7.421800218315863e-05,8,201310,2.0794415416798357,-9.508503806720169,-9.738080370711568,0.22957656399139914,0.6661199944693041,False
UNITED REFRIG BR #82,5.89119024421621e-05,10,201310,2.302585092994046,-9.739467391933111,-9.510792820610511,-0.22867457132259972,-0.663502848619969,False
Amazon.com,0.006790886511112644,704,201310,6.556778356158042,-4.992173784503501,-5.177594936350635,0.1854211518471347,0.538002374874523,False
AM SOC CELL BIO,6.080875646093037e-05,2,201310,,,,,,False
AIRGAS CENTRAL,0.001901804479250401,242,201310,5.488937726156687,-6.264952117066984,-6.265266434191149,0.0003143171241655196,0.0009119960564438702,False
COMTEC ELECTRONIC SYSTE,0.00012613468251601877,22,201310,3.091042453358316,-8.97816030510377,-8.70769301897654,-0.27046728612723037,-0.7847650648954967,False
ELK CITY UTILITY,3.851025606735579e-05,4,201310,,,,,,False
FASTENAL COMPANY01,0.001833094872076523,224,201310,5.4116460518550396,-6.301749553102545,-6.343993492140019,0.04224393903747359,0.12257145045109592,False
MIDWEST FARM SUPPLY,3.1095113401723273e-05,2,201310,,,,,,False
NORTHFORK ELECTRIC COO,9.62265293471018e-05,6,201310,,,,,,False
OK NATURAL GAS/TNB,0.0004179036969666232,58,201310,4.060443010546419,-7.7802595396224845,-7.720289724495346,-0.05996981512713884,-0.17400335742593392,False
OREILLY AUTO  00003137,1.6445913446667463e-05,2,201310,,,,,,False
PLUMBMASTER INC,9.355421821063643e-05,18,201310,2.8903717578961645,-9.276969405132004,-8.912090369830047,-0.3648790353019571,-1.0587022331530624,False
SIMPLEX GRINNELL WEB P,0.00037159734405089285,52,201310,3.9512437185814275,-7.8976996956924905,-7.831516956460227,-0.06618273923226337,-0.1920302539810142,False
TROY JONES RENTALS,2.719551522338402e-05,4,201310,,,,,,False
APL APPLE ONLINE STORE,0.0005191327094684017,46,201310,3.828641396489095,-7.563351003307089,-7.956396126218661,0.39304512291157234,1.1404265772958047,False
AT&T DATA,0.0019158101521574548,160,201310,5.075173815233827,-6.2576146893336,-6.686714354509788,0.4290996651761878,1.2450393961147084,False
ATW OF STILLWATER # 05,0.00043792230201208855,66,201310,4.189654742026425,-7.733469053706722,-7.588678402010598,-0.14479065169612415,-0.4201123426110702,False
B & H PHOTO-VIDEO.COM,0.0004547964557861388,68,201310,4.219507705176107,-7.695660586825939,-7.558271039496258,-0.1373895473296809,-0.3986379224266712,False
CST - THE COMPOSITES ST,1.6347090848534307e-05,2,201310,,,,,,False
DE-COMP COMPOSITES INC,2.6130970418584915e-05,4,201310,,,,,,False
FAWCETT/PYACHT/CHES. ZODI,2.357286822792906e-05,2,201310,,,,,,False
FIBRE GLAST,3.591484998863552e-05,4,201310,,,,,,False
FREEMAN MANUFACTURING & S,1.6347090848534307e-05,2,201310,,,,,,False
PAYPAL  DBUBLEY,1.6347090848534307e-05,2,201310,,,,,,False
STAPLES       00105288,0.0018031206169797044,282,201310,5.641907070938114,-6.318236438507322,-6.109456295779498,-0.2087801427278242,-0.6057788526025959,False
SURVIVAL-PAX CO.,4.525020036611331e-05,2,201310,,,,,,False
AT&T BILL PAYMENT,0.0023227996783797746,322,201310,5.7745515455444085,-6.064982062498172,-5.974348480697472,-0.09063358180069958,-0.2629747564741633,False
HOBBY-LOBBY #0015,0.000603370456947081,80,201310,4.382026634673881,-7.412979191756586,-7.392733971034969,-0.020245220721617052,-0.058741824865090136,False
OFFICE MAX,0.0006158994309804073,80,201310,4.382026634673881,-7.392426867531148,-7.392733971034969,0.0003071035038209047,0.0008910656240838905,False
CDW GOVERNMENT,0.0004734529518739031,52,201310,3.9512437185814275,-7.655458010625493,-7.831516956460227,0.17605894583473436,0.5108377875631013,False
DMI  DELL HIGHER EDUC,0.0014153249809964303,98,201310,4.584967478670572,-6.5603961050014545,-7.186024312719552,0.6256282077180977,1.8152700389776304,False
STAPLS7106725495000001,2.0956873437869046e-05,2,201310,,,,,,False
STAPLS7106725495001001,2.0956873437869046e-05,2,201310,,,,,,False
STAPLS7106725495002001,2.0956873437869046e-05,2,201310,,,,,,False
STAPLS7107035339000001,2.0956873437869046e-05,2,201310,,,,,,False
STAPLS7107901818000001,2.0956873437869046e-05,2,201310,,,,,,False
BMC HISTORY BOOK CLUB,2.7714444397017672e-05,2,201310,,,,,,False
KINDLE-NewYorkTime,1.8417878933078615e-05,2,201310,,,,,,False
HAMPTON INN DUNCAN,0.00014610124495382859,22,201310,3.091042453358316,-8.831210711154808,-8.70769301897654,-0.12351769217826813,-0.3583885175393145,False
HOLIDAY INNS,0.0004993471481338014,48,201310,3.871201010907891,-7.602209014445726,-7.913046137220445,0.31083712277471953,0.901898777922764,False
HOMEWOOD SUITES LAWTON,8.465730597738938e-05,12,201310,2.4849066497880004,-9.376899133235822,-9.325085370270807,-0.05181376296501483,-0.15033844439357016,False
NORTHWEST INN,0.00011428271409862683,20,201310,2.995732273553991,-9.076835222583027,-8.80477320408533,-0.27206201849769585,-0.7893922058341261,False
OK MANUFACTURING ALLIA,5.757287538830709e-05,6,201310,,,,,,False
OKLAHOMA STATE COUNCIL FO,1.632485429646842e-05,2,201310,,,,,,False
RESIDENCE INNS STILLWATER,0.00016365771765255,18,201310,2.8903717578961645,-8.717733392516454,-8.912090369830047,0.1943569773135927,0.5639298123568551,False
SMUGMUG ONLINE PHOTOS,1.632485429646842e-05,2,201310,,,,,,False
STAPLES,0.008863309565930852,504,201310,6.222576268071369,-4.725835043828302,-5.5180034912584945,0.7921684474301927,2.298489151709418,False
STAPLES DIRECT,0.001155827671710803,140,201310,4.941642422609304,-6.762938591893772,-6.822725558564142,0.059786966670369424,0.173472819766115,False
BUDGET BOX & BAG #4,0.00010078681336642363,14,201310,2.6390573296152584,-9.20250302074027,-9.168071958240741,-0.034431062499528764,-0.09990226686473128,False
CTC CONSTANTCONTACT.COM,0.00020115047858834981,40,201310,3.6888794541139363,-8.511457275338907,-8.09875358756015,-0.4127036877787571,-1.1974662110150869,False
GEBBIE PRESS INC.,1.8360911302914258e-05,2,201310,,,,,,False
OFFICEMAX CT IN#919616,1.8360911302914258e-05,2,201310,,,,,,False
THE CHRONICLE,8.229209126716862e-05,16,201310,2.772588722239781,-9.40523553913617,-9.032060754186388,-0.3731747849497822,-1.0827724806271686,False
WAL-MART #2734,0.0009604763617316965,122,201310,4.804021044733257,-6.948081185395597,-6.962902702984209,0.014821517588612387,0.04300486531597501,False
WWW.NEWEGG.COM,0.0010096078948356054,150,201310,5.0106352940962555,-6.898193245451563,-6.752451420493149,-0.1457418249584137,-0.42287218672233323,False
MCLAIN-CHITWOOD OFFICE PR,0.0001271150931105617,20,201310,2.995732273553991,-8.970417629065787,-8.80477320408533,-0.1656444249804565,-0.48061989226384705,False
DOLRTREE 2748 00027482,0.00012672279717911686,24,201310,3.1780538303479458,-8.9735085485517,-8.619065753745627,-0.354442794806074,-1.0284213179736788,False
LOWES #00241,0.0029998225576585336,334,201310,5.811140992976701,-5.809202139177109,-5.937079530654067,0.1278773914769582,0.3710382533060835,False
OSU ALUMNI ASSOCIATION,0.00012819372767195052,14,201310,2.6390573296152584,-8.961967932989763,-9.168071958240741,0.20610402525097804,0.598014055848603,False
PARTY GALAXY #200,0.00037633722295573593,64,201310,4.1588830833596715,-7.885024944301256,-7.620021521136026,-0.26500342316523007,-0.768911580973832,False
SQ  S E & M  MONOGRAMMING,2.6916038020836128e-05,4,201310,,,,,,False
WAL-MART #0137,0.002756680454908246,350,201310,5.857933154483459,-5.8937280564839005,-5.8894183919379035,-0.004309664545997016,-0.0125045591485125,False
OFFICE DEPOT #1079,0.0008362229362290936,96,201310,4.564348191467836,-7.086615309103384,-7.207026520695265,0.12041121159188073,0.34937501548560235,False
CELUMBRA,1.940861407353113e-05,2,201310,,,,,,False
DBC BLICK ART MATERIAL,4.149700688873882e-05,8,201310,2.0794415416798357,-10.089889232393418,-9.738080370711568,-0.35180886168184955,-1.020778919779207,False
GENESIS ART SUPPLY MOTO,1.940861407353113e-05,2,201310,,,,,,False
PAI INC,1.940861407353113e-05,2,201310,,,,,,False
PROSOURCE SPECIALTIES L,3.468879706406828e-05,4,201310,,,,,,False
REI ELSEVIER HEALTH SC,6.933536249149296e-05,6,201310,,,,,,False
SOUTHERN OFFICE SUPPLY,5.7151101253267004e-05,8,201310,2.0794415416798357,-9.769811880888152,-9.738080370711568,-0.031731510176584266,-0.09206947353789702,False
SYX TIGERDIRECT.COM,0.0001242162396917457,24,201310,3.1780538303479458,-8.993486634600144,-8.619065753745627,-0.3744208808545171,-1.0863880474025356,False
USPS 39346502300016527,1.940861407353113e-05,2,201310,,,,,,False
WAL-MART #1437,0.000526942229283607,42,201310,3.7376696182833684,-7.548419635386823,-8.0490573412748,0.5006377058879767,1.4526081411764498,False
AIA CRP,2.6213695379821004e-05,4,201310,,,,,,False
CANDLEWOOD SUITES,0.00015058974983564954,12,201310,2.4849066497880004,-8.80095130045454,-9.325085370270807,0.5241340698162666,1.5207832089527384,False
CENTRAL PRINTING,0.00029566402676077936,50,201310,3.912023005428146,-8.126286789636211,-7.871466037459092,-0.2548207521771193,-0.7393664016909104,False
"ELEMENT FUSION, LLC",3.3143309707067234e-05,4,201310,,,,,,False
HYATT PLACE,6.17844604088296e-05,4,201310,,,,,,False
HYATT REGENCY,6.171281966068338e-05,4,201310,,,,,,False
ODYSSEY DIGITAL PRINT,1.8364039592970764e-05,2,201310,,,,,,False
OKAPP,0.0004012006964543198,66,201310,4.189654742026425,-7.821048763457467,-7.588678402010598,-0.2323703614468693,-0.6742262415235686,False
OKLAHOMA TODAY MAGAZINE,3.129999582567916e-05,4,201310,,,,,,False
PAYPAL  RSVP LINE,1.8364039592970764e-05,2,201310,,,,,,False
QUIK PRINT OKLAHOMA CITY,0.00016862538431372222,18,201310,2.8903717578961645,-8.68783095840577,-8.912090369830047,0.22425941142427597,0.6506921930551441,False
SHELL OIL 57445817901,1.8364039592970764e-05,2,201310,,,,,,False
TELVENT DTN LLC,1.8364039592970764e-05,2,201310,,,,,,False
WAL-MART #2804,0.0003716303423924307,70,201310,4.248495242049359,-7.8976108982968265,-7.528745175089322,-0.3688657232075041,-1.0702696705230776,False
BEST WELDERS SUPPLY INC,0.00013937899246339603,10,201310,2.302585092994046,-8.878313763508201,-9.510792820610511,0.6324790571023104,1.835147885716781,False
GES EXHIBITIONS&EVENTS,0.0001020741698337967,8,201310,2.0794415416798357,-9.18981084389918,-9.738080370711568,0.5482695268123887,1.5908126152704196,False
MANDALAY BAY CONVENTION,2.011341522700048e-05,2,201310,,,,,,False
TRIAD SERVICE COMPANY,2.011341522700048e-05,2,201310,,,,,,False
ATT BUS PHONE PMT,0.0009281664424454261,124,201310,4.820281565605037,-6.982299484099626,-6.946340207986942,-0.03595927611268479,-0.1043364025876683,False
LOWES #00124,0.0003187928109580673,44,201310,3.784189633918261,-8.050969158485382,-8.00167340245136,-0.04929575603402192,-0.143032407863598,False
PBI LeasedEquipment,2.4246347899320678e-05,4,201310,,,,,,False
STANDLEY SYSTEMS LLC,0.0006503723135330608,124,201310,4.820281565605037,-7.337965567467754,-6.946340207986942,-0.39162535948081256,-1.136307111474879,False
WALKER STAMP & SEAL,0.0005384127925872008,112,201310,4.718498871295094,-7.526885017681303,-7.050013108665199,-0.4768719090161033,-1.3836513094963374,False
XPEDX-INTL PAPER,0.0007893086168677944,102,201310,4.624972813284271,-7.144353162941608,-7.1452760390554975,0.0009228761138890818,0.002677739492189724,False
1400 MUSKOGEE PHOENIX,4.302870832913652e-05,6,201310,,,,,,False
OKMULGEE DAILY TIMES,7.671881778315115e-05,10,201310,2.302585092994046,-9.475363523973323,-9.510792820610511,0.0354292966371883,0.10279865884263564,False
37S BASECAMP 1108487,1.7515960780670162e-05,2,201310,,,,,,False
PRSA OKC,1.7515960780670162e-05,2,201310,,,,,,False
STAPLES       00108795,0.0002800017760918873,36,201310,3.58351893845611,-8.180714608058425,-8.206070753304864,0.025356145246439254,0.07357125238600123,False
WAL-MART #0517,3.958844798154242e-05,4,201310,,,,,,False
ELSEVIER LTD,4.788906272303201e-05,6,201310,,,,,,False
RESEARCH MEDIA,3.4524425872014015e-05,4,201310,,,,,,False
SUDDENLINK COMMUNICTNS,4.683915791178412e-05,2,201310,,,,,,False
USPS PO BOXES 66101510,4.683915791178412e-05,2,201310,,,,,,False
